idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Mes_año_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;lon;lat;geopoint
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;28/05/19 10:00;2019;Mayo;2019_05;Masculino;24;FISICA;VICTIMA Y DENUNCIANTE;-99.10452907;19.43407915;19.43407915, -99.10452907
;DESPOJO;;20/05/19 15:30;2019;Mayo;2019_05;Masculino;53;FISICA;VICTIMA Y DENUNCIANTE;-99.12896545;19.29066902;19.29066902, -99.12896545
;ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO CON VIOLENCIA;;28/05/19 5:30;2019;Mayo;2019_05;Masculino;28;FISICA;VICTIMA Y DENUNCIANTE;-99.16517198;19.18965188;19.18965188, -99.16517198
;ROBO DE ACCESORIOS DE AUTO;;28/05/19 8:00;2019;Mayo;2019_05;Femenino;51;FISICA;VICTIMA Y DENUNCIANTE;-99.126724;19.4056241;19.4056241, -99.126724
;VIOLENCIA FAMILIAR;;25/05/19 10:40;2019;Mayo;2019_05;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.15993598;19.307777;19.307777, -99.15993598
;AMENAZAS;;23/05/19 12:00;2019;Mayo;2019_05;Masculino;57;FISICA;VICTIMA Y DENUNCIANTE;-99.16581171;19.42108271;19.42108271, -99.16581171
;TENTATIVA DE EXTORSION;;20/05/19 17:47;2019;Mayo;2019_05;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.12445303;19.3045785;19.3045785, -99.12445303
;VIOLENCIA FAMILIAR;;26/05/19 18:30;2019;Mayo;2019_05;Masculino;21;FISICA;VICTIMA Y DENUNCIANTE;-99.1536622;19.5164409;19.5164409, -99.1536622
;AMENAZAS;;13/05/19 7:30;2019;Mayo;2019_05;Femenino;30;FISICA;VICTIMA Y DENUNCIANTE;-99.2377253;19.3623134;19.3623134, -99.2377253
;VIOLENCIA FAMILIAR;;14/05/19 12:00;2019;Mayo;2019_05;Femenino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.20041076;19.45758585;19.45758585, -99.20041076
;VIOLENCIA FAMILIAR;;26/05/19 21:30;2019;Mayo;2019_05;Masculino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.049393;19.3665547;19.3665547, -99.049393
;VIOLENCIA FAMILIAR;;23/05/19 12:10;2019;Mayo;2019_05;Femenino;48;FISICA;VICTIMA Y DENUNCIANTE;-99.0130966;19.3745401;19.3745401, -99.0130966
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;28/05/19 7:30;2019;Mayo;2019_05;Masculino;42;FISICA;VICTIMA Y DENUNCIANTE;-99.14715927;19.43752267;19.43752267, -99.14715927
;DESPOJO;;26/05/19 11:00;2019;Mayo;2019_05;Masculino;43;FISICA;VICTIMA Y DENUNCIANTE;-99.07197748;19.24152648;19.24152648, -99.07197748
;ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO SIN VIOLENCIA;;28/05/19 9:00;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.0846739;19.4222714;19.4222714, -99.0846739
;ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO SIN VIOLENCIA;;28/05/19 9:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.0846739;19.4222714;19.4222714, -99.0846739
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;24/05/19 7:45;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.1490067;19.42731692;19.42731692, -99.1490067
;VIOLENCIA FAMILIAR;;28/05/19 8:00;2019;Mayo;2019_05;Masculino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.14858245;19.36516119;19.36516119, -99.14858245
;ROBO DE ACCESORIOS DE AUTO;;25/05/19 9:30;2019;Mayo;2019_05;Masculino;37;FISICA;VICTIMA Y DENUNCIANTE;-99.1212154;19.4445165;19.4445165, -99.1212154
